albumID,similarity
MW0002411914,"[(0.02, 'MW0002501329'), (0.0017435575548348848, 'MW0002495479'), (0.0016848064157428309, 'MW0002370087'), (0.0010278231733012652, 'MW0002590120'), (0.0010213252716725222, 'MW0002401622'), (0.0009936604463522726, 'MW0002544167'), (0.0009834679045249359, 'MW0002104668'), (0.0009771636846888222, 'MW0002295212'), (0.0009672489505348885, 'MW0002490285'), (0.0009666599000473663, 'MW0002563622')]"
MW0002562563,"[(0.00099601593625498, 'MW0001977540'), (0.0008975452138401473, 'MW0000807807'), (0.000877470078270331, 'MW0002055680'), (0.0008340283569641367, 'MW0002427366'), (0.0008337849668570476, 'MW0002022516'), (0.0008191685439279131, 'MW0001960596'), (0.0008027292795504716, 'MW0001610447'), (0.0008003201280512205, 'MW0002262175'), (0.0007869368483179224, 'MW0002628656'), (0.0007869368483179224, 'MW0002088324')]"
MW0002584606,"[(0.038461538461538464, 'MW0002290932'), (0.006666666666666667, 'MW0001955809'), (0.0022383382576775003, 'MW0000812846'), (0.0009420453689049664, 'MW0002191512'), (0.0008743092956564314, 'MW0002413078'), (0.0008617569500698022, 'MW0002387701'), (0.0008598304414369486, 'MW0002615954'), (0.0008556003319729288, 'MW0002278411'), (0.0008496321092966744, 'MW0002213045'), (0.0008425948551158145, 'MW0002355523')]"
MW0002022330,"[(1.0, 'MW0002034255'), (1.0, 'MW0001974960'), (0.038461538461538464, 'MW0002527254'), (0.038461538461538464, 'MW0002498911'), (0.038461538461538464, 'MW0002413337'), (0.0196078431372549, 'MW0002534574'), (0.0196078431372549, 'MW0002534050'), (0.013157894736842105, 'MW0001695064'), (0.013157894736842105, 'MW0001258696'), (0.004658529768005217, 'MW0002348295')]"
MW0001997150,"[(0.058823529411764705, 'MW0002293918'), (0.0008118135102004368, 'MW0002010832'), (0.0008098411901426131, 'MW0002348295'), (0.0008032193029662889, 'MW0002104668'), (0.0007652221822606194, 'MW0000823569'), (0.0007499006381654431, 'MW0002563308'), (0.0007498050506868214, 'MW0002418731'), (0.000749608329647759, 'MW0002114042'), (0.0007477697766411677, 'MW0002590120'), (0.0007453953204081785, 'MW0002034255')]"
MW0002186144,"[(0.0011426220891702279, 'MW0002615954'), (0.0011408752795144435, 'MW0002357960'), (0.0011274719823212394, 'MW0002485837'), (0.0011274719823212394, 'MW0002294097'), (0.0011250618784033122, 'MW0002582576'), (0.001122485632183908, 'MW0002570906'), (0.0011119141602268304, 'MW0002061341'), (0.001097201040146586, 'MW0002503286'), (0.001097201040146586, 'MW0002456525'), (0.001097201040146586, 'MW0002413767')]"
MW0002141165,"[(0.0035512624738094386, 'MW0002463588'), (0.0025462786138059227, 'MW0002560310'), (0.0020901262436251147, 'MW0000824428'), (0.0009569744296432403, 'MW0002203682'), (0.0009569744296432403, 'MW0002189112'), (0.0008314487162431821, 'MW0001310557'), (0.000784553706623987, 'MW0002191517'), (0.0007711646127982478, 'MW0002409556'), (0.0007535511096040089, 'MW0002487697'), (0.0007238666058618718, 'MW0001968316')]"
0,"[(0.013386880856760375, 'MW0002431606'), (0.010638297872340425, 'MW0002605243'), (0.009900990099009901, 'MW0001610447'), (0.009080177971488242, 'MW0001313329'), (0.007936507936507936, 'MW0002628656'), (0.007936507936507936, 'MW0002088324'), (0.006680026720106881, 'MW0001368971'), (0.0066286623359406065, 'MW0002484010'), (0.006474587245063127, 'MW0001787432'), (0.005681818181818182, 'MW0001960596')]"
MW0002171730,"[(0.06666666666666667, 'MW0002580105'), (0.0010561669588728586, 'MW0002190675'), (0.0008653363562416712, 'MW0002566879'), (0.0008549785400386451, 'MW0002280305'), (0.0007105048136701127, 'MW0002382249'), (0.000690626812895384, 'MW0002418731'), (0.0006857910943168492, 'MW0002563622'), (0.0006857910943168492, 'MW0002055042'), (0.000674308833445718, 'MW0002304130'), (0.0006545059461865211, 'MW0002034255')]"
MW0000807807,"[(0.006686279753944905, 'MW0002022516'), (0.0051985859846121855, 'MW0001960596'), (0.005049229992426154, 'MW0002427366'), (0.004821833261005834, 'MW0002262175'), (0.004142158893215143, 'MW0002486375'), (0.003785011355034065, 'MW0000834629'), (0.0035673515981735162, 'MW0002377963'), (0.0032535137948984903, 'MW0001610447'), (0.003008785654110001, 'MW0002628656'), (0.003008785654110001, 'MW0002088324')]"
MW0000813151,"[(0.0009703273884608668, 'MW0002110484'), (0.0008984080209868114, 'MW0000811149'), (0.0008399126490844953, 'MW0001782286'), (0.0007905388312673919, 'MW0000818441'), (0.000760381103008828, 'MW0000823104'), (0.0007473338863604093, 'MW0002427099'), (0.000743383883437407, 'MW0001762399'), (0.0007344246884203259, 'MW0000823920'), (0.000731325600783981, 'MW0000822690'), (0.0006994914697015269, 'MW0001805295')]"
MW0000816598,"[(0.0028652474141142087, 'MW0002152171'), (0.001004247968908483, 'MW0002410621'), (0.0009118513317588699, 'MW0002590120'), (0.0009088430428065071, 'MW0002503286'), (0.0009088430428065071, 'MW0002456525'), (0.0009088430428065071, 'MW0002413767'), (0.0008908447881125672, 'MW0002110738'), (0.0008781481611577506, 'MW0002628656'), (0.0008781481611577506, 'MW0002123313'), (0.0008781481611577506, 'MW0002088324')]"
MW0000805153,"[(0.0009371017317640004, 'MW0002443418'), (0.0008617792293970131, 'MW0001787432'), (0.0008573976267233693, 'MW0002484010'), (0.0008483850989641216, 'MW0002552345'), (0.0008279927799029592, 'MW0001610447'), (0.0008112010642957963, 'MW0002628656'), (0.0008112010642957963, 'MW0002088324'), (0.0007974227297374884, 'MW0001965056'), (0.0007888177200012621, 'MW0002561652'), (0.0007795812089745388, 'MW0001960596')]"
MW0001792314,"[(0.0243842965130456, 'MW0002484790'), (0.0010950263901360023, 'MW0001747196'), (0.001039922629756346, 'MW0002556305'), (0.0009998800143982722, 'MW0002052709'), (0.0009935419771485343, 'MW0000444789'), (0.0009826850887364636, 'MW0001792357'), (0.0009776317847645863, 'MW0000819818'), (0.0009701391179495137, 'MW0000363579'), (0.0009681104420392278, 'MW0002094433'), (0.0009516558812333459, 'MW0002190231')]"
MW0001773593,"[(0.0059830082565513944, 'MW0000049410'), (0.004183400267737617, 'MW0002480871'), (0.0035175349115339973, 'MW0002052709'), (0.0030939636768664344, 'MW0001610447'), (0.002871830217397548, 'MW0002628656'), (0.002871830217397548, 'MW0002088324'), (0.002859757492564631, 'MW0002602865'), (0.0026804621116680526, 'MW0002484010'), (0.0026611315131193788, 'MW0001787432'), (0.002651183753545959, 'MW0002094433')]"
MW0001317974,"[(0.0008164198357363291, 'MW0002411750'), (0.0008105369807497467, 'MW0001763057'), (0.0007736824188407143, 'MW0002143946'), (0.0007670123335583236, 'MW0002093365'), (0.0007646195253241985, 'MW0002204056'), (0.0007573749384632863, 'MW0002590120'), (0.0007567673924065959, 'MW0002104668'), (0.0007563152321887763, 'MW0002401622'), (0.0007331270802480903, 'MW0002468962'), (0.0007261636772928618, 'MW0000834629')]"
MW0002401480,"[(0.011111111111111112, 'MW0000813895'), (0.0028972910328842532, 'MW0002304170'), (0.000917397526696268, 'MW0002202456'), (0.0008613561190738701, 'MW0002284285'), (0.0008504847763225039, 'MW0000817341'), (0.0008400396498714739, 'MW0002191517'), (0.0008138484451425454, 'MW0002401710'), (0.0007590190437878087, 'MW0002565325'), (0.0007407956144899622, 'MW0002507769'), (0.0007379855945211949, 'MW0002578650')]"
MW0002487697,"[(0.0010273796681563672, 'MW0002203682'), (0.0010273796681563672, 'MW0002189112'), (0.0010013819070317036, 'MW0002472642'), (0.0009932064677605182, 'MW0002344537'), (0.0009786267908870273, 'MW0001968316'), (0.0009034729500198765, 'MW0001489534'), (0.0008859593167481751, 'MW0002191517'), (0.0008488820223765301, 'MW0002284285'), (0.0008408024618696084, 'MW0002202456'), (0.0008371913903237419, 'MW0002554625')]"
MW0000813322,"[(0.001876172607879925, 'MW0002393598'), (0.0009975559878298169, 'MW0001610447'), (0.0009732833714535985, 'MW0002628656'), (0.0009732833714535985, 'MW0002088324'), (0.0009502903136908324, 'MW0002484010'), (0.0009470593806231648, 'MW0001787432'), (0.000928117314028493, 'MW0001960596'), (0.0009219563914626836, 'MW0002562501'), (0.0009219563914626836, 'MW0002346806'), (0.0009070706154474124, '0')]"
MW0002031815,"[(1.0, 'MW0002059085'), (0.017241379310344827, 'MW0001379979'), (0.0012914724076920096, 'MW0002556305'), (0.001259636217060513, 'MW0000819818'), (0.0011977769260252972, 'MW0001747196'), (0.001171893310832982, 'MW0002052709'), (0.0011235450092130692, 'MW0002094433'), (0.0011071744906997341, 'MW0000444789'), (0.0010846928149947934, 'MW0002190231'), (0.0010763335773022772, 'MW0000363579')]"
MW0001965699,"[(0.0010452378961451627, 'MW0002427366'), (0.0010004401936852215, 'MW0002348295'), (0.00093486776295493, 'MW0002022516'), (0.0009111866383591351, 'MW0001960596'), (0.0009037750684609614, 'MW0002484807'), (0.0008994827973914999, 'MW0000834629'), (0.0008987067609709628, 'MW0002377963'), (0.0008908924069240158, 'MW0001610447'), (0.0008898697230725422, 'MW0002262175'), (0.0008897351258530335, 'MW0000807807')]"
MW0000826008,"[(0.001264382349222405, 'MW0002202456'), (0.0010805787579827753, 'MW0002187052'), (0.0009569561139926122, 'MW0002558478'), (0.0009352699656755922, 'MW0002563308'), (0.0009250522654529981, 'MW0002418731'), (0.0009178438013418876, 'MW0002110738'), (0.0009162627475054748, 'MW0002010832'), (0.000910257693953158, 'MW0002034255'), (0.000910257693953158, 'MW0002022330'), (0.000910257693953158, 'MW0001974960')]"
MW0002176968,"[(0.000708888038223243, 'MW0000822019'), (0.0006494856073989401, 'MW0002472642'), (0.000640857210604905, 'MW0002213045'), (0.0006231849737639125, 'MW0002202456'), (0.0006202011932670958, 'MW0001489534'), (0.0006126024577610605, 'MW0002344537'), (0.0006070244873678204, 'MW0001968316'), (0.0005988059808741369, 'MW0002524684'), (0.0005933027980159953, 'MW0002191517'), (0.0005891814502112215, 'MW0002452207')]"
MW0002447522,"[(0.007518231711901361, 'MW0001610447'), (0.006328713372571356, 'MW0002628656'), (0.006328713372571356, 'MW0002088324'), (0.005477351152982418, 'MW0002484010'), (0.005363080553469913, 'MW0001787432'), (0.0048074611797509735, 'MW0001960596'), (0.0043101590448687555, 'MW0002562501'), (0.0043101590448687555, 'MW0002346806'), (0.004291661302090039, '0'), (0.004020262121090295, 'MW0002552345')]"
MW0002507154,"[(0.07142857142857142, 'MW0002555667'), (0.0009630664034285164, 'MW0002435552'), (0.0009006493681944683, 'MW0002104668'), (0.000863386374036245, 'MW0002590120'), (0.000853315129277242, 'MW0002484807'), (0.0008481620328747604, 'MW0002401622'), (0.0008358408559010366, 'MW0002490285'), (0.0008329862557267805, 'MW0002628656'), (0.0008329862557267805, 'MW0002088324'), (0.00083268106649791, 'MW0000834629')]"
MW0002074779,"[(0.03568879371877231, 'MW0000799270'), (0.0010412545034257272, 'MW0000790149'), (0.0007526719855486979, 'MW0000804042'), (0.000746352203604881, 'MW0000833034'), (0.0007067237699472784, 'MW0001936303'), (0.0007013262078590615, 'MW0000825316'), (0.0006889472197534947, 'MW0000823776'), (0.0006562497949219391, 'MW0002565183'), (0.0006508298080052067, 'MW0002049029'), (0.0006342722677136387, 'MW0002607521')]"
MW0002325132,"[(0.0016051364365971107, 'MW0001975735'), (0.0009877518767285659, 'MW0000819818'), (0.0008256342935460167, 'MW0002590120'), (0.0008025617771927994, 'MW0002110738'), (0.0007884818570324696, 'MW0002558478'), (0.0007787191627211562, 'MW0001792357'), (0.000775692887671913, 'MW0002615954'), (0.0007746833481814309, 'MW0002252502'), (0.0007721292235468529, 'MW0002190231'), (0.0007712538273471183, 'MW0002010832')]"
MW0000808703,"[(0.0009715340522685321, 'MW0000049410'), (0.0009125336496783317, 'MW0002174000'), (0.0009058955683588793, 'MW0001773593'), (0.0008901548869503293, 'MW0002480871'), (0.0008180293672542842, 'MW0002628656'), (0.0008180293672542842, 'MW0002088324'), (0.0008061590551815872, 'MW0002562501'), (0.0008061590551815872, 'MW0002346806'), (0.0008016353360856145, 'MW0001610447'), (0.0008007366777435238, 'MW0001784043')]"
MW0002033205,"[(0.0014327468622843717, 'MW0000819364'), (0.0008501015871396632, 'MW0001760872'), (0.0008316284949187499, 'MW0000833034'), (0.0008278145695364238, 'MW0002417171'), (0.0007983075879136231, 'MW0000351394'), (0.0007977789833104636, 'MW0002087546'), (0.0007458233890214799, 'MW0000825316'), (0.0007161938593538499, 'MW0002413681'), (0.0007068036923424888, 'MW0000646188'), (0.0007042650290157191, 'MW0000819444')]"
MW0002122892,"[(0.0017384350607583053, 'MW0002357960'), (0.001728668233992532, 'MW0002605130'), (0.0016796560064498793, 'MW0002490285'), (0.0016753786355716395, 'MW0002418731'), (0.001666444474070124, 'MW0002401622'), (0.0015613290032475645, 'MW0002628656'), (0.0015613290032475645, 'MW0002088324'), (0.0015026747610747133, 'MW0001610447'), (0.001495237668027333, 'MW0002570906'), (0.0014528126452812646, 'MW0002410440')]"
MW0002132081,"[(0.0008764011463326994, 'MW0000583370'), (0.0008243819196557383, 'MW0000814142'), (0.0008071025020177562, 'MW0002424876'), (0.000773760242651212, 'MW0002202456'), (0.000754335543536476, 'MW0002181687'), (0.0007219122010381096, 'MW0002564599'), (0.0007210117236506264, 'MW0002615954'), (0.0007173601147776184, 'MW0000812846'), (0.0007121441949565948, 'MW0002507769'), (0.0007091142453960756, 'MW0002204054')]"
MW0002123313,"[(0.015053439710973959, 'MW0002387701'), (0.014573010784027979, 'MW0002278411'), (0.012023566189731874, 'MW0002102148'), (0.0091324200913242, 'MW0002491083'), (0.00881057268722467, 'MW0002628656'), (0.00881057268722467, 'MW0002088324'), (0.008793527963418923, 'MW0002355523'), (0.007897646501342599, 'MW0002558673'), (0.007220216606498195, 'MW0001610447'), (0.006909894969596462, 'MW0002094433')]"
MW0000814003,"[(0.002369668246445498, 'MW0002392640'), (0.00130718954248366, 'MW0002122128'), (0.0011479738261967627, 'MW0000817341'), (0.0009165062780680045, 'MW0002503286'), (0.0009165062780680045, 'MW0002456525'), (0.0009165062780680045, 'MW0002413767'), (0.0009109625230018035, 'MW0001974333'), (0.0009088678233524496, 'MW0002413078'), (0.0008885966393275102, 'MW0002615954'), (0.0008389754431887778, 'MW0002131963')]"
MW0000363579,"[(0.005383290267011198, 'MW0002052709'), (0.004994755506717946, 'MW0002556305'), (0.004040077569489334, 'MW0001747196'), (0.0036262102476701604, 'MW0002602865'), (0.0035004200504060484, 'MW0000819818'), (0.0034523234136573924, 'MW0002190231'), (0.00338684549210865, 'MW0002094433'), (0.0033631532925270735, 'MW0000444789'), (0.00328385656114541, 'MW0002562501'), (0.00328385656114541, 'MW0002346806')]"
MW0001989957,"[(0.0033333333333333335, 'MW0002427099'), (0.000844359257977084, 'MW0002110484'), (0.0007829443404868347, 'MW0001762399'), (0.0007706594532941838, 'MW0001782286'), (0.0007244329501083027, 'MW0002359461'), (0.000689531532276971, 'MW0002398999'), (0.0006806471593190805, 'MW0000804042'), (0.0006760730970232502, 'MW0002581468'), (0.0006697519908377928, 'MW0002011446'), (0.000664659395292882, 'MW0002605243')]"
MW0002272192,"[(0.0012009703840703285, 'MW0002069779'), (0.0010702856592424517, 'MW0002010832'), (0.0010625524635278867, 'MW0002104668'), (0.0010514915407505545, 'MW0002348295'), (0.0010157337152492101, 'MW0002034255'), (0.0010157337152492101, 'MW0002022330'), (0.0010157337152492101, 'MW0001974960'), (0.0009628902112581123, 'MW0002418731'), (0.0009529890501558135, 'MW0000823569'), (0.0009528256043296393, 'MW0002527254')]"
MW0002349066,"[(0.014925373134328358, 'MW0000818143'), (0.0009998600195972563, 'MW0002568027'), (0.00094219625948085, 'MW0001974333'), (0.0009309686729041569, 'MW0002418731'), (0.0009295840111550079, 'MW0002115796'), (0.0009271965285761971, 'MW0002213045'), (0.0009099760676294213, 'MW0000817183'), (0.0009040446959697688, 'MW0002413078'), (0.0009024130525023915, 'MW0001954785'), (0.0009014287645918782, 'MW0000809691')]"
MW0002329151,"[(0.0015060240963855422, 'MW0001957675'), (0.0006651235799611569, 'MW0002114042'), (0.0005767677932864228, 'MW0002563622'), (0.0005767677932864228, 'MW0002055042'), (0.0005527824303632334, 'MW0000555007'), (0.0005449680376245934, 'MW0002544994'), (0.0005364605406449328, 'MW0001983842'), (0.0005259614575443912, 'MW0002104668'), (0.0005205893070956322, 'MW0001805295'), (0.0005072434362699346, 'MW0002519466')]"
MW0002142016,"[(0.0009035464196973119, 'MW0001763057'), (0.0008712319219376197, 'MW0002488164'), (0.0008556881872245753, 'MW0002295212'), (0.0008400749346841739, 'MW0002499300'), (0.0008388558006878618, 'MW0002304130'), (0.0008272324936923523, 'MW0002357960'), (0.0008216859352018471, 'MW0002344298'), (0.0008177016043305476, 'MW0002022940'), (0.0008053993975612507, 'MW0002401622'), (0.0007982566075690692, 'MW0002104668')]"
MW0002568027,"[(0.008547008547008548, 'MW0001954785'), (0.0009998600195972563, 'MW0002349066'), (0.0009783395620952121, 'MW0000818143'), (0.0009584695158770476, 'MW0002603994'), (0.0009554109700287578, 'MW0002181687'), (0.0009266380644384111, 'MW0000814142'), (0.0009092810314884021, 'MW0002503286'), (0.0009092810314884021, 'MW0002456525'), (0.0009092810314884021, 'MW0002413767'), (0.000901599437401951, 'MW0002413078')]"
MW0002096139,"[(0.0006708617890542191, 'MW0002357960'), (0.0006627080903403669, 'MW0002138220'), (0.0006564307235835866, 'MW0002418731'), (0.0006539495281754155, 'MW0002490285'), (0.0006519329812895236, 'MW0002178203'), (0.0006505545977946199, 'MW0002605130'), (0.0006477313210480293, 'MW0002123313'), (0.0006458362934163448, 'MW0002582576'), (0.0006457028475495577, 'MW0002485837'), (0.0006457028475495577, 'MW0002294097')]"
MW0002449362,"[(0.0004994032131602734, 'MW0002406704'), (0.0004937345090797776, 'MW0002581468'), (0.00048809535430841775, 'MW0002605243'), (0.0004763288383768618, 'MW0002390979'), (0.000467490696935131, 'MW0001368971'), (0.0004642353115947412, 'MW0002431606'), (0.00045140613009524665, 'MW0000823860'), (0.0004452795910552236, '0'), (0.0004360775694780587, 'MW0002398999'), (0.0004350247094034942, 'MW0001791556')]"
MW0000817072,"[(0.0009910802775024777, 'MW0002165205'), (0.0008092710086753851, 'MW0002168467'), (0.0007763854598531078, 'MW0000819818'), (0.0007269872195646798, 'MW0002052709'), (0.0007262375087148501, 'MW0001379979'), (0.0007238142113682258, 'MW0002556305'), (0.0007200097921331729, 'MW0000824605'), (0.0007183856437812948, 'MW0002602865'), (0.0007170617677006695, 'MW0000363579'), (0.0007084460943366817, 'MW0001784043')]"
MW0002351436,"[(0.002178649237472767, 'MW0002511221'), (0.0010616838305552605, 'MW0002507769'), (0.0009361367508565651, 'MW0002278411'), (0.0009324357085578949, 'MW0002410440'), (0.0009308213567652095, 'MW0002304130'), (0.0009203950335483989, 'MW0002102148'), (0.0009168844267180121, 'MW0002387701'), (0.000910116859004696, 'MW0002461800'), (0.0009044535291776708, 'MW0002355523'), (0.0008982950360216309, 'MW0002123313')]"
MW0002566658,"[(0.0009831584949809762, 'MW0002459398'), (0.0008604889298099183, 'MW0001935991'), (0.0008326741329780591, 'MW0002485837'), (0.0008326741329780591, 'MW0002294097'), (0.000812532501300052, 'MW0002605130'), (0.0008066077305284894, 'MW0002490285'), (0.0007874573788693687, 'MW0002357960'), (0.0007844306210337228, 'MW0002615954'), (0.0007800494551354557, 'MW0002255703'), (0.000771992125680318, 'MW0002038538')]"
MW0001610447,"[(0.038461538461538464, 'MW0002628656'), (0.038461538461538464, 'MW0002088324'), (0.019661816751867872, 'MW0002484010'), (0.01836547291092746, 'MW0001787432'), (0.013157894736842105, 'MW0001960596'), (0.01, 'MW0002562501'), (0.01, 'MW0002346806'), (0.009900990099009901, '0'), (0.00856677803478112, 'MW0002552345'), (0.007936507936507936, 'MW0002631541')]"
MW0000237765,"[(0.0012309207287050713, 'MW0002104668'), (0.001161642562583493, 'MW0002418731'), (0.001145632847585006, 'MW0002357960'), (0.0011319259720414285, 'MW0002401622'), (0.0011217049915872126, 'MW0002590120'), (0.0011101489819933836, 'MW0002110738'), (0.0011040452216922805, 'MW0002615954'), (0.0010822276574100126, 'MW0002138220'), (0.0010491528091066465, 'MW0002544167'), (0.0010424485030439497, 'MW0002010832')]"
MW0002456525,"[(1.0, 'MW0002503286'), (1.0, 'MW0002413767'), (0.004584422133590061, 'MW0002590120'), (0.004541119840152582, 'MW0002413078'), (0.00439792417978714, 'MW0002061341'), (0.0038333269444550924, 'MW0002615954'), (0.0038053198371323115, 'MW0002485837'), (0.0038053198371323115, 'MW0002294097'), (0.0034549474847982305, 'MW0001954813'), (0.003371657844161975, 'MW0002387701')]"
MW0002110484,"[(0.0009966810520965186, 'MW0002427099'), (0.0009712226722220602, 'MW0002398999'), (0.0009703273884608668, 'MW0000813151'), (0.0009320533134495292, 'MW0001762399'), (0.0009242827565808932, 'MW0002486375'), (0.000914904712674175, 'MW0002055680'), (0.0009083312138938341, 'MW0001960596'), (0.0009059530172765241, 'MW0001336836'), (0.0008921243264461335, 'MW0002628656'), (0.0008921243264461335, 'MW0002088324')]"
MW0002484780,"[(0.0005094113751560071, 'MW0002541385'), (0.0004561377901036345, 'MW0002581468'), (0.0004501827742063277, 'MW0001960596'), (0.000447563464499266, 'MW0002123313'), (0.0004471631966802604, 'MW0001610447'), (0.000445738075392138, 'MW0002390979'), (0.000445291487807919, 'MW0002491083'), (0.000444592641991775, 'MW0002387701'), (0.00044403790307540644, 'MW0002094433'), (0.00044221958855889475, 'MW0002628656')]"
MW0002093365,"[(0.0008016353360856146, 'MW0002382249'), (0.0007670123335583236, 'MW0001317974'), (0.0007544379814257368, 'MW0002563622'), (0.0007544379814257368, 'MW0002055042'), (0.0007488561222732277, 'MW0002348295'), (0.0007342089999339213, 'MW0002223499'), (0.0007240081088908197, 'MW0002401622'), (0.0007143979768249297, 'MW0002204056'), (0.0007116475352087619, 'MW0001763057'), (0.0007111566251351197, 'MW0002418731')]"
MW0002556305,"[(0.011653653420347278, 'MW0001747196'), (0.00788084167389077, 'MW0002052709'), (0.00593647966755714, 'MW0000819818'), (0.005554012774229381, 'MW0002094433'), (0.004994755506717946, 'MW0000363579'), (0.004659615115791435, 'MW0002190231'), (0.004648352159159578, 'MW0000444789'), (0.004240162822252374, 'MW0002602865'), (0.004212832287146649, 'MW0001954813'), (0.0038689209579448286, 'MW0002562501')]"
MW0002356472,"[(0.0014912686222169202, 'MW0001770214'), (0.0009245049276112643, 'MW0002554625'), (0.0009060761466393636, 'MW0002103142'), (0.000790132821327265, 'MW0002472642'), (0.0006752650415288, 'MW0000806401'), (0.000666266906522753, 'MW0002467147'), (0.0006634423369092876, 'MW0002344537'), (0.0006631827466376634, 'MW0002187052'), (0.0006569050575120378, 'MW0001968316'), (0.0006556130309646036, 'MW0001489534')]"
MW0002578650,"[(0.005464182285121031, 'MW0002565325'), (0.0035622684525505846, 'MW0002355523'), (0.003407967828783696, 'MW0002336594'), (0.0033431398769724523, 'MW0002558673'), (0.0031287153494775045, 'MW0002278411'), (0.0027077522948200693, 'MW0002448132'), (0.0026399155227032735, 'MW0002115457'), (0.002611443344736636, 'MW0002387701'), (0.0025765227249304338, 'MW0002558478'), (0.0025434290510466208, 'MW0002102148')]"
